,Headline,Type,Username,URL,User URL,Date,2022-06-20,2022-06-21,2022-06-22,2022-06-23,2022-06-24,2022-06-25,2022-06-26,index
66,None,img,so cherish,https://gelindewoyuzuichu.lofter.com/post/74545f58_2b5c56411,https://gelindewoyuzuichu.lofter.com/,2022-06-19,2,2,2,2,2,2,2,66
67,【GGAD/GGSS】哈利波特与衔尾之蛇（25）,text,大雪微苔,https://wuyanzhe977.lofter.com/post/1f226b00_2b5c58c83,https://wuyanzhe977.lofter.com/,2022-06-19,45,47,49,50,50,52,53,67
68,【GGAD】酒日低语「3」,text,余浊在亞特蘭蒂斯,https://honghongneko.lofter.com/post/1f4ebbd3_2b5c588b7,https://honghongneko.lofter.com/,2022-06-19,0,0,0,0,0,0,0,68
69,None,img,溪釉,https://maoyou75703.lofter.com/post/31b2f722_2b5c52e1b,https://maoyou75703.lofter.com/,2022-06-19,0,0,0,0,0,0,0,69
70,【GGAD】【FB3】被世界最强的黑白巫师玩弄的一生 格林德沃篇 Chapter 23,text,Splitwarrior,https://splitwarrior.lofter.com/post/30cb80da_2b5c543db,https://splitwarrior.lofter.com/,2022-06-19,15,15,15,15,15,15,15,70
71,当GGAD各有各的后代,text,Gellert Grindelwald,https://gellertgrindelwald90164.lofter.com/post/74c98131_2b5c51da6,https://gellertgrindelwald90164.lofter.com/,2022-06-19,0,0,0,0,0,0,0,71
72,None,img,喜当攻,https://kumauniverse.lofter.com/post/4797b0_2b5c52985,https://kumauniverse.lofter.com/,2022-06-19,8,8,8,8,8,8,8,72
73,问穿越以后发现自己有一个表弟叫做格林德沃该怎么办,text,九福【迷·雨】,https://jiufu53664.lofter.com/post/312b031e_2b5c519b8,https://jiufu53664.lofter.com/,2022-06-19,1,1,1,1,1,1,1,73
74,None,img,海影云墨,https://haiyingyunmo.lofter.com/post/74e32c67_2b5c524e0,https://haiyingyunmo.lofter.com/,2022-06-19,5,5,5,5,5,5,5,74
75,None,img,上官念月  ⃒⃘⃤(GGAD是神),https://shangguannianyueggadshishen.lofter.com/post/749fb579_2b5c518bc,https://shangguannianyueggadshishen.lofter.com/,2022-06-19,1,2,4,5,5,5,5,75
76,【GGAD少年组】德姆斯特朗交换生35,text,一只毛线球  ⃒⃘⃤,https://fluffyball.lofter.com/post/30bf7df9_2b5c51b81,https://fluffyball.lofter.com/,2022-06-19,55,55,55,55,55,55,55,76
77,12 AD：逃避可耻但有用,text,半夜又饿醒了,https://banyeyouexingle.lofter.com/post/74375a6a_2b5c51166,https://banyeyouexingle.lofter.com/,2022-06-19,24,24,24,24,24,24,24,77
78,【GGAD】爱意难藏（下）,text,Argyle,https://argyle00284.lofter.com/post/73d34eba_2b5c4cb84,https://argyle00284.lofter.com/,2022-06-19,48,50,51,54,57,58,58,78
79,住在魔镜里的黑魔王（五十）,text,牛奶糖和大果粒,https://mitaoshangdeqingting.lofter.com/post/1f4d37bb_2b5c4cef2,https://mitaoshangdeqingting.lofter.com/,2022-06-19,1,1,2,2,2,2,2,79
80,None,img,朝颦,https://qinggexueshang.lofter.com/post/4b697fe0_2b5c4f708,https://qinggexueshang.lofter.com/,2022-06-19,0,0,0,0,0,0,0,80
81,剧透,text,双木,https://nannuonuomizhou.lofter.com/post/3091c331_2b5c4a73d,https://nannuonuomizhou.lofter.com/,2022-06-19,0,0,0,0,0,0,0,81
82,None,img,👸🏻,https://ming089458.lofter.com/post/742dd4e1_2b5c4f617,https://ming089458.lofter.com/,2022-06-19,0,0,0,0,0,1,1,82
83,交错时空2《哈利波特观影体》,text,九莲青良,https://bailu462.lofter.com/post/1f0799b6_2b5c4b8df,https://bailu462.lofter.com/,2022-06-19,9,12,12,13,14,14,14,83
84,文章,text,忘羡永恒,https://liuyixuan11044.lofter.com/post/74a5b2b1_2b5c4b3c6,https://liuyixuan11044.lofter.com/,2022-06-19,7,7,7,7,7,7,7,84
85,summertime,text,一条鱼,https://yitiaoyu99311.lofter.com/post/314d6fbe_2b5c4f56f,https://yitiaoyu99311.lofter.com/,2022-06-19,2,2,2,2,2,2,2,85
86,None,img,九日,https://fenshubushangxianbugaiming.lofter.com/post/31ddcf61_2b5c4ac31,https://fenshubushangxianbugaiming.lofter.com/,2022-06-19,0,0,0,0,0,0,0,86
87,【ggAD】巫师也会攀科技树 chapter 2（下）,text,Echo,https://echo4625.lofter.com/post/1f8fc8bd_2b5c4e0ad,https://echo4625.lofter.com/,2022-06-19,5,5,7,7,7,7,7,87
88,德哈--重生,text,仙挽,https://xianwan50803.lofter.com/post/7442021a_2b5c4d2a1,https://xianwan50803.lofter.com/,2022-06-19,1,1,1,1,1,1,1,88
89,None,img,L,https://l653333975.lofter.com/post/73cfe15c_2b5c4e575,https://l653333975.lofter.com/,2022-06-19,2,2,2,2,2,2,2,89
90,嗅嗅有话说,text,疯姑娘伍幺幺   ⃒⃘⃤,https://quzhongrenbusan472.lofter.com/post/20259b2d_2b5c4a88e,https://quzhongrenbusan472.lofter.com/,2022-06-19,3,5,5,6,6,6,6,90
91,僵 持,text,秋映,https://flin526096.lofter.com/post/31b2c3ff_2b5c48243,https://flin526096.lofter.com/,2022-06-19,10,10,10,10,10,10,10,91
92,（ggad）把前男友变成好闺蜜（二）,text,Heitiana Artemis Blake Lancast,https://yueliangaiyouling.lofter.com/post/7441749f_2b5c48957,https://yueliangaiyouling.lofter.com/,2022-06-19,2,2,2,2,2,2,2,92
93,[GGAD]格格不入22,text,青汤光肉,https://meatsoup.lofter.com/post/228818_2b5c47a49,https://meatsoup.lofter.com/,2022-06-19,27,28,28,28,28,28,28,93
94,None,img,霍格沃兹乌鱼,https://xiaoxixi980.lofter.com/post/1fd1408e_2b5c4aee2,https://xiaoxixi980.lofter.com/,2022-06-19,12,12,13,13,14,15,17,94
95,【ggad】我的冤种老爹们（番外1）,text,青妩Echo（邓布利多的狗版,https://yaoyao65798.lofter.com/post/31bf63f3_2b5c447dd,https://yaoyao65798.lofter.com/,2022-06-19,17,17,21,24,24,24,24,95
96,【GGAD】存在即永恒,text,Existence is eternity,https://baiyexiaomeng.lofter.com/post/30a41e51_2b5c4813d,https://baiyexiaomeng.lofter.com/,2022-06-19,0,0,0,0,0,0,0,96
97,怎样用女儿挽回老相好70,text,Anna-图兰朵,https://anna-tulanduo.lofter.com/post/1f61c809_2b5b91f97,https://anna-tulanduo.lofter.com/,2022-06-19,7,7,7,7,7,7,7,97
98,None,img,shadow.⃒⃘⃤丧.,https://shadowxiqian.lofter.com/post/7450545a_2b5c44c20,https://shadowxiqian.lofter.com/,2022-06-19,0,0,0,0,0,0,0,98
99,血盟突然变成人该怎么办【2】,text,肥牛卷适合涮火锅,https://deyunshededabaobei54915.lofter.com/post/313987a3_2b5c46a3d,https://deyunshededabaobei54915.lofter.com/,2022-06-19,2,3,5,6,8,8,10,99
100,为什么GGAD目前没有出现多少广播剧呢,text,罗莎琳德小姐   ⃒⃘⃤,https://rosalind1899.lofter.com/post/4c6bb6eb_2b5c4567f,https://rosalind1899.lofter.com/,2022-06-19,4,2,2,2,2,2,2,100
101,【HP论坛体】深夜八卦区①,text,Senyu_Riddle,https://senyuriddle.lofter.com/post/74e8962a_2b5c4606f,https://senyuriddle.lofter.com/,2022-06-19,0,0,0,0,1,2,3,101
102,《圣芒戈日记》「GGAD’s Anatomy」3,text,红笔掉了,https://hongbidiaole.lofter.com/post/4c40725b_2b5c43416,https://hongbidiaole.lofter.com/,2022-06-19,4,4,4,4,4,4,4,102
103,【GGAD】无尽夏（09）,text,狐安衾,https://anastaciablack.lofter.com/post/1d1e0d4b_2b5c460ef,https://anastaciablack.lofter.com/,2022-06-19,5,5,5,5,5,5,5,103
104,None,img,糸木但,https://mimudan.lofter.com/post/1eecde04_2b5c43681,https://mimudan.lofter.com/,2022-06-19,0,0,0,0,0,0,0,104
105,第二十四章,text,如有诗云,https://hodeimalfoy.lofter.com/post/741748b7_2b5c418cf,https://hodeimalfoy.lofter.com/,2022-06-19,1,1,1,1,1,1,1,105
106,全世界最饿的斯莱特林 43,text,茜茜子,https://qianqianzi023.lofter.com/post/20361630_2b5c43667,https://qianqianzi023.lofter.com/,2022-06-19,4,5,5,5,5,6,6,106
107,None,img,柠檬雪宝喂大的🦉 ⃒⃘⃤,https://obliviate58011.lofter.com/post/73cf5383_2b5c46fc2,https://obliviate58011.lofter.com/,2022-06-19,6,8,9,9,11,12,13,107
108,None,img,高跟鞋骑士,https://bailuwenjiu.lofter.com/post/1f090641_2b5c42016,https://bailuwenjiu.lofter.com/,2022-06-19,38,51,57,73,82,88,92,108
109,找文,text,司业,https://siye1238.lofter.com/post/1f8fc565_2b5c454b9,https://siye1238.lofter.com/,2022-06-19,1,1,1,1,1,1,1,109
110,阿利安娜同人文预告,text,writing.,https://writing64027.lofter.com/post/74d00dc6_2b5c42041,https://writing64027.lofter.com/,2022-06-19,3,3,6,6,6,6,6,110
111,None,img,hy,https://toutuxiaojianqiang.lofter.com/post/1fd23357_2b5c463f9,https://toutuxiaojianqiang.lofter.com/,2022-06-19,3,3,3,4,5,5,5,111
112,哈利.格林德沃(29),text,Draco.Malfoy:⃒⃘⃤,https://harrymalfoy79611.lofter.com/post/7425a4a3_2b5c3e7ac,https://harrymalfoy79611.lofter.com/,2022-06-19,3,3,3,3,3,3,3,112
113,None,img,puli,https://buyuantouluxingmingdeadzuixihuandexuesheng.lofter.com/post/74d0e503_2b5c438e4,https://buyuantouluxingmingdeadzuixihuandexuesheng.lofter.com/,2022-06-19,0,0,0,0,0,0,0,113
114,【授翻】GGAD之有问必答（9/9）,text,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5c41efb,https://moinmoin150.lofter.com/,2022-06-19,13,13,13,13,13,13,13,114
115,霍格沃茨的学生们再次要求换一个黑魔法防御课老师,text,一,https://yi89667498.lofter.com/post/74a886a4_2b5c35660,https://yi89667498.lofter.com/,2022-06-19,2,2,2,2,2,2,2,115
116,None,img,Post‐Trauma,https://haitang873.lofter.com/post/2042266a_2b5c41306,https://haitang873.lofter.com/,2022-06-19,1,1,1,1,1,1,1,116
117,None,img,庬大侠,https://pangdaxia756.lofter.com/post/1fc72ab9_2b5c40a8d,https://pangdaxia756.lofter.com/,2022-06-19,5,5,5,5,5,5,5,117
118,None,img,路过的阿甲,https://xiangzheyibaiqianjinqianjin.lofter.com/post/1cfc785b_2b5c3af89,https://xiangzheyibaiqianjinqianjin.lofter.com/,2022-06-19,3,4,4,4,4,4,4,118
119,None,img,拉文克劳大冤种,https://lawenkelaodechihuo.lofter.com/post/74b23994_2b5c39c59,https://lawenkelaodechihuo.lofter.com/,2022-06-19,0,0,0,0,0,0,0,119
120,不速之客（上）,text,moinmoin,https://moinmoin150.lofter.com/post/1ebe7c87_2b5c3dfc9,https://moinmoin150.lofter.com/,2022-06-19,12,12,12,12,12,12,12,120
121,None,img,可梦颖欣,https://kemengyingxin.lofter.com/post/30be3ce1_2b5c39f11,https://kemengyingxin.lofter.com/,2022-06-19,3,3,3,3,3,3,3,121
122,当我穿游戏了（8）,text,水纱,https://sifenkesi77710.lofter.com/post/74bd5188_2b5baa70b,https://sifenkesi77710.lofter.com/,2022-06-19,3,3,3,3,3,3,3,122
123,None,img,棉花团籽牟,https://huangjunjiequanwainuyou.lofter.com/post/4b779012_2b5c3c08c,https://huangjunjiequanwainuyou.lofter.com/,2022-06-19,1,1,1,1,1,1,1,123
124,在1945年的决斗（2）,text,欣灵手巧⃒⃘⃤​,https://ggadyongyuandeshen10282.lofter.com/post/747718fa_2b5bdd0d9,https://ggadyongyuandeshen10282.lofter.com/,2022-06-19,0,0,0,0,0,0,0,124
125,None,img,夜雨声寒,https://lovewolverine.lofter.com/post/2db328_2b5c32ac9,https://lovewolverine.lofter.com/,2022-06-19,1,1,1,1,1,1,1,125
126,ad演员,text,夜雨声寒,https://lovewolverine.lofter.com/post/2db328_2b5c372dd,https://lovewolverine.lofter.com/,2022-06-19,0,0,0,0,0,0,0,126
127,None,img,海格的黑暗料理,https://ye26470672.lofter.com/post/7473e872_2b5c34d14,https://ye26470672.lofter.com/,2022-06-19,2,2,2,2,2,2,2,127
128,None,img,小包一挎,https://shaoyedeqingpingguo40033.lofter.com/post/4cdab2a3_2b5c358e1,https://shaoyedeqingpingguo40033.lofter.com/,2022-06-19,15,22,26,31,35,38,43,128
129,【ggAD】巫师也会攀科技树 chapter 2（上）,text,Echo,https://echo4625.lofter.com/post/1f8fc8bd_2b5c2e430,https://echo4625.lofter.com/,2022-06-18,3,3,5,5,5,5,5,129
130,GGAD—夏谷中的玫瑰金（1）,text,Romantic July.,https://romanticjuly.lofter.com/post/74e5968e_2b5c31b43,https://romanticjuly.lofter.com/,2022-06-19,0,0,0,0,0,0,0,130
131,【GGAD】你须偿还（23）,text,凌宙 ⃒⃘⃤ ,https://lingzhou106.lofter.com/post/1f9b3e29_2b5c35835,https://lingzhou106.lofter.com/,2022-06-19,13,14,16,17,17,17,17,131
132,谁有完整的通信集,text,Geater Good,https://oumeiquanaihaozhe.lofter.com/post/74aa5fe9_2b5c31364,https://oumeiquanaihaozhe.lofter.com/,2022-06-18,4,4,4,4,4,4,4,132
133,一组短句（GGAD）,text,Alina·Elster,https://miffy83773.lofter.com/post/745e5f0a_2b5c33fe8,https://miffy83773.lofter.com/,2022-06-18,2,2,2,2,2,2,2,133
134,名字/name,text,安,https://zhanggui47354.lofter.com/post/32138e9e_2b5c361f9,https://zhanggui47354.lofter.com/,2022-06-18,0,0,0,0,0,0,0,134
135,【GGAD】Kiss Cam,text,不晴女士,https://yujochen.lofter.com/post/1f9b2521_2b5c352c7,https://yujochen.lofter.com/,2022-06-18,32,32,32,32,32,32,32,135
136,我的一个嗑点（可能不算新）,text,看到走来的逆家吓得我赶紧打一套军体拳,https://shuidaozhongwuhaoye.lofter.com/post/204d2b1b_2b5c32c34,https://shuidaozhongwuhaoye.lofter.com/,2022-06-18,4,4,4,4,4,4,4,136
137,【GGAD】信徒的试炼（十）,text,减缪,https://jianmou760.lofter.com/post/1f4ea424_2b5c32c11,https://jianmou760.lofter.com/,2022-06-18,31,31,31,31,31,31,31,137
138,关于华纳的操作,text,Annihilation,https://qianlan88993.lofter.com/post/73e0d1cd_2b5c33344,https://qianlan88993.lofter.com/,2022-06-18,1,1,1,1,1,1,1,138
139,一些对与GGAD决战的设想和恶搞,text,汀兰,https://tinglan04989.lofter.com/post/4c896961_2b5c31ff5,https://tinglan04989.lofter.com/,2022-06-18,4,4,4,4,4,4,4,139
140,【GGAD】酒日低语「2」,text,余浊在亞特蘭蒂斯,https://honghongneko.lofter.com/post/1f4ebbd3_2b5c30168,https://honghongneko.lofter.com/,2022-06-18,2,3,4,4,4,4,4,140
